Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
American Radical: The Trials of Norman Finkelstein	"Documentary, Special Interest"
American Relapse	Documentary
American Renegades	"Action & Adventure, Drama"
American Reunion	"Comedy, Romance"
An American Rhapsody	Drama
American Satan	Drama
American Sniper	"Action & Adventure, Drama"
American Son	Drama
American Splendor	"Art House & International, Comedy, Drama"
American Swing	Documentary
An American Tail	"Action & Adventure, Animation, Kids & Family"
An American Tail - Fievel Goes West	"Action & Adventure, Animation, Kids & Family, Western"
American Teacher	"Documentary, Special Interest"
American Teen	"Documentary, Special Interest"
American Ultra	"Action & Adventure, Comedy"
American Violet	Drama
American Wedding	Comedy
An American Werewolf in London	"Comedy, Horror, Science Fiction & Fantasy"
American Zombie	"Comedy, Horror"
The Americanization of Emily	"Classics, Comedy, Drama, Romance"
Americano	Drama
America's Heart and Soul	"Documentary, Special Interest"
America's Sweethearts	"Comedy, Drama, Romance"
Amira & Sam	"Comedy, Drama, Romance"
Amistad	"Drama, Mystery & Suspense"
Amityville 1992: It's About Time	Horror
Amityville II: The Possession	Horror
The Amityville Horror	Horror
Amityville: The Awakening	"Horror, Mystery & Suspense"
Amityville: The Demon	Horror
Amnesiac	"Drama, Horror, Mystery & Suspense"
Among Giants	"Comedy, Drama, Romance"
Among Wolves	Documentary
Amores Perros	"Art House & International, Drama"
Amos & Andrew	"Comedy, Mystery & Suspense"
Amour	"Art House & International, Drama"
Amour Fou	Drama
Amy	"Art House & International, Documentary, Musical & Performing Arts, Special Interest"
Amy Schumer Growing	Comedy
Amy Schumer: The Leather Special	"Comedy, Television"
An Evening with Kevin Smith	"Comedy, Documentary, Television"
An Acceptable Loss	"Drama, Mystery & Suspense"
An Actor Prepares	Comedy
An Affair of the Heart	"Documentary, Musical & Performing Arts, Special Interest"
"An Alan Smithee Film: Burn, Hollywood, Burn"	Comedy
An American Carol	Comedy
An Autumn Afternoon	"Art House & International, Comedy, Drama"
An Education	"Art House & International, Drama"
An Encounter with Simone Weil	Documentary
An Evening with Beverly Luff Linn	Comedy
An Inconvenient Sequel: Truth To Power	Documentary
An Interview With God	Drama
An Invisible Sign	"Comedy, Drama"
An Ordinary Man	"Drama, Mystery & Suspense"
An Oversimplification Of Her Beauty	"Animation, Comedy, Special Interest"
Anaconda	"Action & Adventure, Horror, Mystery & Suspense"
Anacondas: The Hunt for the Blood Orchid	"Action & Adventure, Horror"
Analyze That	Comedy
Analyze This	Comedy
Anamorph	"Drama, Mystery & Suspense"
The Anarchist Cookbook	"Art House & International, Comedy, Drama"
Cymbeline	Action & Adventure
Anatomie	"Art House & International, Horror, Mystery & Suspense"
Anatomy of a Murder	"Classics, Drama, Mystery & Suspense"
Anatomy 2 (Anatomie 2)	"Art House & International, Horror, Mystery & Suspense"
Anchor and Hope	"Art House & International, Comedy"
Anchorman - The Legend Of Ron Burgundy	Comedy
Anchorman 2: The Legend Continues	Comedy
Anchors Aweigh	"Classics, Comedy, Musical & Performing Arts, Romance"
And Everything Is Going Fine	"Documentary, Special Interest"
...And God Spoke (The Making of '...And God Spoke')	"Comedy, Documentary"
...And Justice for All	"Comedy, Drama, Mystery & Suspense"
And Now A Word From Our Sponsor	"Art House & International, Comedy, Drama"
Monty Python's And Now for Something Completely Different	"Comedy, Television"
And Now Ladies & Gentlemen	"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance"
And So It Goes	"Comedy, Drama, Romance"
And Soon the Darkness	"Horror, Mystery & Suspense"
And the Band Played On	"Drama, Television"
And Then Came Love	Comedy
And Then There Were None	"Classics, Mystery & Suspense"
And While We Were Here	"Drama, Romance"
The Anderson Tapes	"Classics, Drama, Mystery & Suspense"
André Gregory: Before and After Dinner	"Documentary, Special Interest"
Dice Rules	Comedy
The Andromeda Strain	"Classics, Mystery & Suspense, Science Fiction & Fantasy"
Andron (Andròn - The Black Labyrinth)	"Action & Adventure, Art House & International, Science Fiction & Fantasy"
Andy Warhol's Frankenstein	"Classics, Drama, Horror, Science Fiction & Fantasy"
Anesthesia	Drama
An Angel at My Table	"Art House & International, Drama"
Angel of Evil	"Art House & International, Drama"
Angel of Mine	"Drama, Mystery & Suspense"
Angel-A	"Art House & International, Comedy, Science Fiction & Fantasy, Romance"
Angela's Ashes	"Art House & International, Drama"
Angels Crest	Drama
Angels in Stardust	"Comedy, Drama"
Angels in the Dust	"Documentary, Drama, Special Interest"
Angels with Dirty Faces	"Action & Adventure, Classics, Drama, Mystery & Suspense"
Angie	"Comedy, Drama, Musical & Performing Arts"
The Angry Red Planet	"Action & Adventure, Classics, Cult Movies, Horror, Science Fiction & Fantasy"
Anguish	Horror
Angus	"Comedy, Drama, Kids & Family, Romance"
"Angus, Thongs and Perfect Snogging"	"Comedy, Drama, Kids & Family"
ANIARA	"Drama, Science Fiction & Fantasy"
Anima	Musical & Performing Arts
Animal	"Horror, Mystery & Suspense"
Animal Factory	"Drama, Mystery & Suspense"
Animal Farm	"Animation, Classics, Comedy, Drama, Kids & Family"
Animal Kingdom	"Art House & International, Drama"
Animals	Drama
Animals United (Konferenz der Tiere)	"Animation, Art House & International, Kids & Family"
The Animatrix	"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest"
Anna	"Action & Adventure, Mystery & Suspense"
Anna and the Apocalypse	"Comedy, Horror, Musical & Performing Arts"
Anna and the King of Siam	"Classics, Drama, Musical & Performing Arts, Romance"
Anna Karenina	"Drama, Romance"
Annabelle	Horror
Annabelle Comes Home	"Horror, Mystery & Suspense"
Annabelle: Creation	"Drama, Horror"
Annapolis	Drama
Anne Frank Remembered	"Art House & International, Documentary, Special Interest"
Anne of the Thousand Days	"Classics, Drama"
Annie	"Comedy, Kids & Family, Musical & Performing Arts"
Annie	"Drama, Kids & Family, Musical & Performing Arts"
Annie Hall	"Comedy, Romance"
Annihilation	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Anniversary Party	"Comedy, Drama"
Anomalisa	"Animation, Comedy, Drama"
Anon	"Mystery & Suspense, Science Fiction & Fantasy"
Anonymous	"Art House & International, Drama"
Mark of the Witch (Another)	"Horror, Science Fiction & Fantasy"
Another 48 Hrs.	"Action & Adventure, Comedy"
Another Country	"Drama, Mystery & Suspense"
Another Day in Paradise	Drama
Another Earth	Drama
Another Gay Movie	"Comedy, Gay & Lesbian"
Another Gay Sequel: Gays Gone Wild!	Comedy
Another Happy Day	"Comedy, Drama"
Another Stakeout	"Action & Adventure, Comedy"
Another Thin Man	"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense"
Another WolfCop	"Comedy, Horror"
Another Woman	Drama
Another Year	"Comedy, Drama"
Another You	Comedy
The Answer Man (Arlen Faber)	"Comedy, Drama, Romance"
Answers to Nothing	"Drama, Mystery & Suspense"
The Ant Bully	"Animation, Comedy, Drama, Kids & Family"
Ant-Man and the Wasp	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Antarctica: A Year on Ice	"Action & Adventure, Documentary, Special Interest"
Antarctica: Ice & Sky (La glace et le ciel)	"Art House & International, Documentary"
Antboy	Action & Adventure
Anthony Jeselnik: Fire in the Maternity Ward	Comedy
Anthony Jeselnik: Thoughts and Prayers	Comedy
Anthropoid	"Drama, Mystery & Suspense"
Anti Matter	"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Antibirth	Horror
Antisocial	Horror
Antitrust	"Action & Adventure, Drama, Mystery & Suspense"
Antiviral	"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Ant-Man	"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
Anton Chekhov's The Duel	Drama
Antonia (Antonia's Line)	"Art House & International, Comedy, Drama, Romance"
Antonio Gaudí	"Art House & International, Documentary, Drama, Musical & Performing Arts, Special Interest"
Ants on a Shrimp	Documentary
Antwone Fisher	Drama
Antz	"Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
Anvil! The Story of Anvil	"Documentary, Drama, Musical & Performing Arts"
Any Day	Drama
Any Day Now	Drama
Any Given Sunday	"Action & Adventure, Drama"
Any Number Can Play	"Drama, Mystery & Suspense"
Any Which Way You Can	"Action & Adventure, Comedy"
Standard Time (Anything But Love)	"Comedy, Drama, Musical & Performing Arts"
Anything Else	Comedy
Anywhere but Here	"Comedy, Drama"
Anzio (Lo sbarco di Anzio)	"Action & Adventure, Art House & International, Classics, Drama"
Apache	"Classics, Western"
Aparajito	"Art House & International, Drama"
Apocalypse Now	"Action & Adventure, Drama"
Apocalypse Now: Final Cut	Drama
Apocalypse Now Redux	Drama
Apollo 11	Documentary
Apollo 13	"Action & Adventure, Drama"
Apollo 18	"Horror, Science Fiction & Fantasy"
The Apostle	Drama
Apostle	Mystery & Suspense
The Apple Dumpling Gang	"Comedy, Kids & Family, Western"
Applesauce	Comedy
The Apprenticeship of Duddy Kravitz	"Art House & International, Classics, Comedy, Drama"
Approaching the Unknown	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Appropriate Behavior	Comedy
Après vous (After You)	"Art House & International, Comedy, Drama"
April and the Extraordinary World (Avril et le monde truqué)	"Action & Adventure, Animation, Comedy"
April's Shower	"Comedy, Drama, Romance"
Apt Pupil	"Drama, Horror, Mystery & Suspense"
Aqua Teen Hunger Force Colon Movie Film for Theaters	"Action & Adventure, Animation, Comedy"
Aquamarine	"Comedy, Drama, Kids & Family, Science Fiction & Fantasy"
Aquellos que me Aman Tomarán el Tren	"Art House & International, Drama, Romance"
Arabian Nights	"Action & Adventure, Drama, Science Fiction & Fantasy"
Arachnophobia	"Comedy, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Arbitrage	"Drama, Mystery & Suspense"
Arcadia	Drama
Archipelago	"Art House & International, Drama"
The Architect	Drama
Arctic	Drama
Arctic Tale	"Documentary, Special Interest"
Are We Done Yet?	Comedy
Are You Here	Comedy
Argo	"Drama, Mystery & Suspense"
Aria	"Art House & International, Comedy, Drama, Musical & Performing Arts, Special Interest"
Aristide and the Endless Revolution	"Documentary, Special Interest"
The Aristocats	"Animation, Comedy, Kids & Family, Musical & Performing Arts"
The Aristocrats	"Comedy, Documentary, Special Interest"
Arizona	"Comedy, Horror"
Arizona Dream	"Comedy, Drama, Romance"
Arlington Road	"Drama, Mystery & Suspense"
Armadillo	"Documentary, Special Interest"
Armageddon	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Jackpot	Action & Adventure
Armed Response	Horror
Armored	"Drama, Mystery & Suspense"
Armstrong	Documentary
Army of Crime (L'Armée du Crime)	"Art House & International, Drama, Mystery & Suspense"
Army of Darkness	"Action & Adventure, Comedy, Horror, Science Fiction & Fantasy"
Army of One	Comedy
Army of Shadows (L'Armée des ombres)	"Art House & International, Drama"
Around the Bend	"Comedy, Drama"
Around The Block	Drama
Around the World in 80 Days	"Action & Adventure, Comedy, Kids & Family"
Aroused	"Documentary, Special Interest"
ARQ	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Arranged	Drama
Arrival	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Arsenal	Action & Adventure
Arsenic and Old Lace	"Classics, Comedy, Mystery & Suspense"
Art and Craft	"Documentary, Special Interest"
Art Is...The Permanent Revolution	"Documentary, Musical & Performing Arts"
The Art of Being Straight	"Comedy, Drama, Gay & Lesbian"
The Art Of The Steal	"Documentary, Musical & Performing Arts"
Art School Confidential	"Comedy, Drama"
Arthur	Comedy
Arthur 2: On the Rocks	Comedy
Arthur Christmas	"Animation, Comedy, Kids & Family"
Arthur Miller: Writer	Documentary
Arthur Newman	"Comedy, Drama, Romance"
Article 99	"Comedy, Drama"
Artik	Horror
Artists and Models	Comedy
"As Above, So Below"	"Documentary, Mystery & Suspense, Special Interest"
As Cool As I Am	"Comedy, Drama"
As Good as It Gets	"Comedy, Drama, Romance"
As I Lay Dying	Drama
As If I Am Not There	"Art House & International, Drama"
Ash Is Purest White	"Drama, Romance"
Ash Wednesday	Drama
Ashby	"Comedy, Drama"
Asher	Drama
Popiól i diament (Ashes and Diamonds)	"Art House & International, Classics, Drama"
Ashes in the Snow	Drama
Ashes of Time Redux	"Action & Adventure, Art House & International"
Ashik Kerib	"Art House & International, Drama"
Ask the Dust	"Documentary, Drama"
Asoka	"Action & Adventure, Art House & International, Classics, Drama, Romance"
Aspen Extreme	"Action & Adventure, Drama"
The Asphalt Jungle	"Classics, Drama"
The Asphyx	"Classics, Horror, Science Fiction & Fantasy"
Ass Backwards	"Action & Adventure, Comedy"
The Assassination Bureau	"Action & Adventure, Art House & International, Comedy, Mystery & Suspense"
Assassination Nation	"Drama, Mystery & Suspense"
Assassination of a High School President	"Comedy, Mystery & Suspense"
The Assassination of Jesse James by the Coward Robert Ford	"Action & Adventure, Drama, Western"
Assassination Tango	"Action & Adventure, Drama, Mystery & Suspense"
Assassins	"Action & Adventure, Mystery & Suspense"
Assassin's Bullet	"Action & Adventure, Drama, Mystery & Suspense"
Assassin's Creed	"Action & Adventure, Drama"
Assault of the Killer Bimbos	Comedy
Assault on Precinct 13	"Action & Adventure, Drama, Mystery & Suspense"
Assault On Wall Street	"Action & Adventure, Art House & International, Drama, Mystery & Suspense"
Assaulted: CIVIL Rights Under Fire	"Documentary, Special Interest"
Assisted Living	"Art House & International, Comedy, Drama"
Astro Boy (AstroBoy)	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
Astronaut	Drama
The Astronaut Farmer	Drama
The Astronaut's Wife	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Asylum	"Documentary, Drama, Special Interest"
At Any Price	Drama
At Close Range	Drama
At Eternity's Gate	Drama
At First Light	Drama
At Middleton	"Comedy, Romance"
At The Devil's Door	"Horror, Mystery & Suspense"
At the Earth's Core	"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy"
Atanarjuat: The Fast Runner (Atanarjuat)	"Action & Adventure, Art House & International, Drama"
ATL	"Comedy, Drama"
Atlantic City	"Art House & International, Drama, Romance"
Atlantis - The Lost Empire	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
Atlas Shrugged: Part I	Drama
Atlas Shrugged: Part II	Drama
Atlas Shrugged: Who Is John Galt?	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
ATM	"Horror, Mystery & Suspense"
Atomic Blonde	"Action & Adventure, Drama, Mystery & Suspense"
The Atomic Cafe	"Documentary, Drama, Special Interest"
Atonement	"Drama, Romance"
Atrocious	"Art House & International, Horror, Mystery & Suspense"
Attack of the Killer Tomatoes!	"Comedy, Horror, Science Fiction & Fantasy"
Attack of the Lederhosen Zombies	"Comedy, Horror"
Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo)	"Action & Adventure, Drama, Horror, Science Fiction & Fantasy"
Attack the Block	"Action & Adventure, Art House & International"
Attenberg	"Art House & International, Drama"
Attraction	"Drama, Mystery & Suspense"
Audience of One	"Documentary, Television"
Audition (Ôdishon)	"Art House & International, Horror, Mystery & Suspense"
Audrey Rose	"Drama, Horror, Mystery & Suspense"
Audrie & Daisy	Documentary
Auggie	"Drama, Science Fiction & Fantasy"
August: Osage County	Drama
August Rush	"Drama, Romance"
Augustine	"Art House & International, Documentary, Drama, Special Interest, Faith & Spirituality"
Auntie Mame	"Classics, Comedy, Drama"
Austenland	"Comedy, Drama, Romance"
Austin Powers in Goldmember	Comedy
Austin Powers: International Man of Mystery	"Action & Adventure, Comedy, Mystery & Suspense"
Austin Powers: The Spy Who Shagged Me	"Comedy, Romance"
Australia	"Action & Adventure, Classics, Mystery & Suspense, Romance"
Australia: Land Beyond Time	"Art House & International, Documentary"
Australia's Lost Gold (Lasseter's Bones)	Documentary
Author: The JT LeRoy Story	Documentary
Authors Anonymous	Comedy
Auto Focus	Drama
Autómata	"Art House & International, Mystery & Suspense, Science Fiction & Fantasy"
Autumn Blood	"Drama, Mystery & Suspense"
Autumn in New York	"Drama, Romance"
Autumn Lights	"Drama, Mystery & Suspense"
Höstsonaten (Autumn Sonata)	"Art House & International, Drama"
Autumn Spring (Babí léto)	"Art House & International, Comedy, Documentary, Drama, Musical & Performing Arts"
Avanti!	"Comedy, Drama, Romance"
Ava's Possessions	Horror
Avatar	"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
Avenged	"Action & Adventure, Drama, Horror"
Avengement	"Action & Adventure, Mystery & Suspense"
Avengers: Age of Ultron	"Action & Adventure, Science Fiction & Fantasy"
Avengers: Endgame	"Action & Adventure, Drama, Science Fiction & Fantasy"
Avengers: Infinity War	"Action & Adventure, Science Fiction & Fantasy"
The Aviator	Drama
Aliens vs. Predator: Requiem (AVP 2)	"Action & Adventure, Horror, Science Fiction & Fantasy"
Await Further Instructions	Horror
Awake	Mystery & Suspense
Awake	Mystery & Suspense
Awake: The Life Of Yogananda	Documentary
Awakening the Zodiac	Mystery & Suspense
Away From Her	Drama
Away We Go	"Comedy, Drama"
Awful Nice	Comedy
The Awful Truth	"Classics, Comedy, Romance"
An Awfully Big Adventure	"Art House & International, Comedy, Drama"
AWOL	Drama
A.X.L.	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
Axolotl Overkill	"Art House & International, Drama"
Ayn Rand: A Sense of Life	"Documentary, Special Interest"
Ayurveda: the Art of Being	"Documentary, Drama, Special Interest, Faith & Spirituality, Sports & Fitness"
Aziz Ansari: Buried Alive	"Comedy, Television"
Aziz Ansari: Live At Madison Square Garden	Comedy
Aziz Ansari: Right Now	Comedy
Baadasssss!	Drama
Der Baader Meinhof Komplex (The Baader Meinhof Complex)	"Action & Adventure, Art House & International, Drama"
Baarìa	"Art House & International, Classics, Comedy, Drama"
Babe: Pig in the City	"Comedy, Kids & Family, Science Fiction & Fantasy"
Babel	Drama
Babes in Arms	"Classics, Comedy, Musical & Performing Arts"
Babette's Feast (Babettes Gæstebud)	"Art House & International, Drama, Romance"
Baby Boom	"Comedy, Drama"
Baby Boy	Drama
Baby Doll	"Classics, Comedy"
Baby Driver	"Action & Adventure, Drama"
Baby Face	"Classics, Drama"
Baby Geniuses	"Comedy, Drama, Kids & Family"
Baby It's You	"Art House & International, Comedy, Drama"
Baby Mama	Comedy
Baby: Secret of the Lost Legend	"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy"
Babyfever	Comedy
Babylon	"Action & Adventure, Drama"
Babylon A.D.	"Action & Adventure, Drama, Science Fiction & Fantasy"
Baby's Day Out	"Comedy, Kids & Family"
The Babysitters	"Comedy, Drama"
The Baby-Sitters Club	"Comedy, Kids & Family"
Bachelorette	Comedy
Bachna Ae Haseeno	"Art House & International, Comedy, Romance"
Back to School	Comedy
Back in the Day	"Comedy, Drama"
Back Roads	Drama
Back to 1942	"Action & Adventure, Art House & International, Drama"
Back to Burgundy (Ce qui nous lie)	"Art House & International, Comedy, Drama"
Back to the Beach	"Comedy, Musical & Performing Arts"
Back to the Future	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Back to the Future Part II	"Comedy, Science Fiction & Fantasy"
Back to the Future Part III	"Action & Adventure, Comedy, Science Fiction & Fantasy"
The Back-up Plan	"Comedy, Romance"
Backcountry	"Drama, Horror, Mystery & Suspense"
Backgammon	"Drama, Mystery & Suspense"
Backstabbing for Beginners	"Drama, Mystery & Suspense"
Backtrace	"Action & Adventure, Mystery & Suspense"
Backtrack	Mystery & Suspense
Backwards	"Drama, Romance, Sports & Fitness"
The Bad and the Beautiful	"Classics, Drama, Romance"
Bad Ass	Action & Adventure
Bad Boy Bubby	"Art House & International, Comedy, Drama"
Bad Boys	"Action & Adventure, Drama, Mystery & Suspense"
Bad Boys II	"Action & Adventure, Comedy, Mystery & Suspense"
Bad Company	"Action & Adventure, Comedy, Documentary, Musical & Performing Arts"
Bad Day at Black Rock	"Classics, Drama, Mystery & Suspense"
Bad Day for the Cut	"Art House & International, Drama, Mystery & Suspense"
Bad Education	"Art House & International, Drama, Mystery & Suspense, Romance"
Bad Hurt	Drama
Bad Influence	"Drama, Mystery & Suspense"
Bad Johnson	Comedy
Bad Kids Go to Hell	"Comedy, Mystery & Suspense"
Bad Lieutenant	"Drama, Mystery & Suspense"
Bad Lieutenant: Port of Call New Orleans	"Drama, Mystery & Suspense"
Bad Milo!	"Comedy, Drama, Horror"
Bad Moms	Comedy
Bad Moon	"Horror, Mystery & Suspense"
Bad News Bears	Comedy
The Bad News Bears Go To Japan	Comedy
The Bad News Bears in Breaking Training	"Comedy, Kids & Family"
Bad Rap	"Documentary, Musical & Performing Arts"
Bad Reputation	Documentary
Bad Samaritan	Drama
Bad Santa	Comedy
Bad Santa 2	Comedy
Bad Taste	"Comedy, Horror, Science Fiction & Fantasy"
Bad Teacher	Comedy
Bad Times at the El Royale	Mystery & Suspense
Bad Turn Worse	Drama
Bad Words	Comedy
Badlands	"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense"
Bagdad Cafe	"Art House & International, Comedy, Drama"
Baggage Claim	Comedy
Baghead	"Comedy, Drama"
"Bai ri yan huo (Black Coal, Thin Ice)"	"Drama, Mystery & Suspense"
Bai she chuan shuo (The Sorcerer and the White Snake)	"Action & Adventure, Documentary, Drama"
Bait	"Action & Adventure, Horror, Mystery & Suspense"
Bakery in Brooklyn (My Bakery in Brooklyn)	Comedy
The Last Circus	"Art House & International, Comedy, Drama"
Ballad of Bering Strait	"Art House & International, Documentary, Musical & Performing Arts, Special Interest"
The Ballad of Cable Hogue	"Action & Adventure, Classics, Comedy, Western, Romance"
The Ballad of Jack and Rose	Drama
The Ballad of Little Jo	"Action & Adventure, Drama, Western"
The Ballad of Ramblin' Jack	"Documentary, Musical & Performing Arts, Special Interest"
Ballet 422	"Documentary, Drama, Musical & Performing Arts"
Ballistic: Ecks vs. Sever	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Ballplayer: Pelotero	"Documentary, Drama"
Balls of Fury	"Action & Adventure, Comedy"
Au Hasard Balthazar	"Art House & International, Drama"
Balto	"Action & Adventure, Animation, Kids & Family"
Balzac and the Little Chinese Seamstress	"Art House & International, Comedy, Drama, Romance"
Bambi	"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
Bambi II	"Animation, Kids & Family"
Bananas	"Classics, Comedy"
Band Aid	Comedy
Band of Angels	"Action & Adventure, Classics, Drama"
Band Of Robbers	"Action & Adventure, Comedy"
Band of the Hand	"Action & Adventure, Drama, Mystery & Suspense"
The Band Wagon	"Classics, Comedy, Drama, Musical & Performing Arts"
B&B	Mystery & Suspense
Bandidas	"Action & Adventure, Comedy, Western"
Bandits	"Comedy, Drama"
Bandolero	"Action & Adventure, Art House & International, Classics, Western"
Bandslam	"Comedy, Drama, Musical & Performing Arts"
The Bang Bang Club	Drama
The Banger Sisters	Comedy
Bangkok Dangerous	"Action & Adventure, Drama, Mystery & Suspense"
Bangkok Dangerous	"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance"
Banksy Does New York	Documentary
B.A.P.S.	Comedy
Barabbas	"Action & Adventure, Art House & International, Classics, Drama"
Baraka	"Documentary, Drama, Special Interest"
Baran	"Art House & International, Drama"
Barb Wire	"Action & Adventure, Drama, Science Fiction & Fantasy"
Barbara	"Art House & International, Drama"
Barbarella	"Action & Adventure, Science Fiction & Fantasy"
The Barbarian Invasions (Les Invasions barbares)	"Art House & International, Comedy, Drama"
Barbarosa	"Action & Adventure, Western"
Barbershop	Comedy
Barbershop 2: Back in Business	Comedy
Barbershop: The Next Cut	Comedy
Barbie in The Nutcracker	"Animation, Kids & Family, Science Fiction & Fantasy"
Barefoot	"Comedy, Drama, Romance"
The Barefoot Contessa	"Art House & International, Classics, Drama, Mystery & Suspense"
The Barefoot Executive	"Classics, Comedy, Kids & Family, Television"
Barefoot in the Park	"Classics, Comedy, Drama"
Barfi!	"Action & Adventure, Comedy, Drama"
Barfly	"Comedy, Drama"
Bark!	Comedy
Barking Water	Drama
The Barkleys of Broadway	"Classics, Comedy, Musical & Performing Arts, Romance"
Barney's Version	"Art House & International, Comedy, Drama"
Barney's Great Adventure	Kids & Family
Barnyard	"Animation, Comedy, Kids & Family"
The Barretts of Wimpole Street	"Classics, Drama, Romance"
Barry	Drama
Barry Lyndon	"Classics, Drama"
Barry Munday	Comedy
Barrymore	"Documentary, Drama, Musical & Performing Arts, Special Interest"
Bart Got a Room	Comedy
Bartleby	"Art House & International, Comedy, Drama"
Barton Fink	"Comedy, Drama"
BASEketball	Comedy
Basic	"Action & Adventure, Drama, Mystery & Suspense"
Basic Instinct	"Drama, Horror, Mystery & Suspense, Romance"
Basic Instinct 2	"Drama, Mystery & Suspense, Romance"
Basil	"Art House & International, Drama"
The Basket	Drama
Basket Case	Horror
Baskin	"Art House & International, Horror, Science Fiction & Fantasy"
Basmati Blues	"Comedy, Drama, Musical & Performing Arts, Romance"
Basquiat	Drama
Bat 21	"Action & Adventure, Drama"
The Bat Whispers	"Classics, Comedy, Drama, Horror, Mystery & Suspense"
Bathtubs Over Broadway	"Comedy, Documentary"
Batkid Begins	Documentary
Batman and Harley Quinn	"Action & Adventure, Animation, Drama, Kids & Family"
Batman & Mr. Freeze: Subzero	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television"
Batman: Assault on Arkham	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest"
Batman: Bad Blood	Animation
Batman Begins	"Action & Adventure, Science Fiction & Fantasy"
Batman Beyond: Return of the Joker	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
Batman Forever	"Action & Adventure, Science Fiction & Fantasy"
Batman: Gotham by Gaslight	Animation
Batman Gotham Knight	"Action & Adventure, Animation"
Batman: Hush	
Batman: Mask of the Phantasm	"Action & Adventure, Animation, Kids & Family, Mystery & Suspense"
Batman Ninja	"Action & Adventure, Animation, Anime & Manga, Drama"
Batman: Return Of The Caped Crusaders	
The Batman Superman Movie: World's Finest	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
"Batman: The Dark Knight Returns, Part 1"	"Action & Adventure, Animation"
Batman: The Killing Joke	"Action & Adventure, Animation, Drama"
Batman: The Movie	"Action & Adventure, Drama, Science Fiction & Fantasy"
Batman: Under the Red Hood	"Action & Adventure, Animation"
Batman v Superman: Dawn of Justice	"Action & Adventure, Science Fiction & Fantasy"
Batman Vs. Robin	"Action & Adventure, Animation"
Batman vs Teenage Mutant Ninja Turtles	"Action & Adventure, Animation"
Batman vs. Two-Face	
Batman: Year One	"Action & Adventure, Animation"
Bats	"Drama, Horror"
*batteries not included	"Comedy, Kids & Family, Science Fiction & Fantasy"
Battle: Los Angeles	"Action & Adventure, Science Fiction & Fantasy"
Battle of the Brave	"Classics, Drama"
Battle Beyond the Stars	Science Fiction & Fantasy
Battle for Brooklyn	"Documentary, Drama, Special Interest"
Battle for Haditha	"Art House & International, Drama"
Battle For Terra	"Action & Adventure, Animation, Science Fiction & Fantasy"
Battle For The Planet Of The Apes	"Action & Adventure, Classics, Science Fiction & Fantasy"
Battle in Seattle	"Action & Adventure, Drama"
Battle of Britain	"Action & Adventure, Classics, Drama"
The Battle of Shaker Heights	"Comedy, Drama"
Battle of the Bulge	"Action & Adventure, Classics, Drama"
Battle of the Sexes	"Comedy, Drama, Sports & Fitness"
Battle of the Year	"Drama, Musical & Performing Arts, Special Interest"
Battle Royale	"Action & Adventure, Art House & International, Drama, Mystery & Suspense"
Battle Royale II	"Action & Adventure, Art House & International, Drama"
Battlefield America	"Drama, Musical & Performing Arts"
Battlefield Earth	"Action & Adventure, Horror, Science Fiction & Fantasy"
Battleship	"Action & Adventure, Science Fiction & Fantasy"
Battleship Potemkin	"Art House & International, Classics, Drama"
Battlestar Galactica	"Action & Adventure, Science Fiction & Fantasy, Television"
Battling Butler	"Classics, Comedy, Drama"
